time,seconds_elapsed,z,y,x
1772871705388991200,0.0599912109375,-0.2831030786037445,-0.6949830651283264,-0.5262296795845032
1772871705398924000,0.069924072265625,-0.30945879220962524,-0.7965956926345825,-0.5798130631446838
1772871705408857000,0.079857177734375,-0.33878952264785767,-0.8248494267463684,-0.6072816848754883
1772871705418788900,0.089788818359375,-0.37292298674583435,-0.8026386499404907,-0.5912414789199829
1772871705428722000,0.099721923828125,-0.41079604625701904,-0.7461189031600952,-0.5431463718414307
1772871705438654000,0.109654052734375,-0.45902884006500244,-0.6621241569519043,-0.45415550470352173
1772871705448587000,0.1195869140625,-0.5024349093437195,-0.5745067000389099,-0.3575562834739685
1772871705458519800,0.129519775390625,-0.5500096082687378,-0.494931697845459,-0.268500953912735
1772871705468452000,0.1394521484375,-0.5958729386329651,-0.3573109805583954,-0.19172868132591248
1772871705478385000,0.149385009765625,-0.5730534195899963,-0.18372589349746704,-0.12318451702594757
1772871705488317000,0.15931689453125,-0.5119833946228027,-0.07683033496141434,-0.061460163444280624
1772871705498250000,0.16925,-0.46542441844940186,-0.025014540180563927,-0.09859395027160645
1772871705508183000,0.17918310546875,-0.41719403862953186,-0.0057433731853961945,-0.18454508483409882
1772871705518115000,0.189114990234375,-0.37226223945617676,-0.03593616187572479,-0.35197189450263977
1772871705528048000,0.199048095703125,-0.36409512162208557,-0.14124394953250885,-0.6217029690742493
1772871705537981000,0.20898095703125,-0.35360732674598694,-0.26964426040649414,-0.8555868268013
1772871705547913000,0.218912841796875,-0.3337598741054535,-0.41670480370521545,-1.0481655597686768
1772871705557846000,0.228845947265625,-0.22781452536582947,-0.6429871916770935,-1.0903362035751343
1772871705567778000,0.238778076171875,-0.08280220627784729,-0.8344700932502747,-0.9717922806739807
1772871705577711000,0.248711181640625,0.003072488820180297,-0.9939809441566467,-0.8005512952804565
1772871705587644200,0.25864404296875,-0.012774384580552578,-1.0580326318740845,-0.6851993799209595
1772871705597576000,0.268575927734375,-0.05119740590453148,-1.0061640739440918,-0.6436713933944702
1772871705607509000,0.278509033203125,-0.01950472593307495,-0.7801480293273926,-0.6858718395233154
1772871705617441000,0.28844091796875,0.14698225259780884,-0.5230544209480286,-0.801639974117279
