time,seconds_elapsed,z,y,x
1772806410129642800,0.073642822265625,0.018022417294234035,0.08459493048489093,0.22424743906408548
1772806410139573800,0.08357373046875,-0.2416203064084053,-0.1528267551898956,0.602376403068006
1772806410149504800,0.0935048828125,-0.6729169431068003,-0.2963414921551943,0.8830952325470744
1772806410159436800,0.103436767578125,-1.154451774919033,-0.3582704173237085,0.9993082672193646
1772806410169367800,0.113367919921875,-1.5640258246310055,-0.28032150072455403,1.054166523349285
1772806410179299800,0.1232998046875,-1.7643254018746315,-0.10678630402684211,1.0823336102999745
1772806410189230600,0.133230712890625,-1.5128643771924077,-0.1563654507100582,0.7493575009696185
1772806410199162600,0.14316259765625,-1.1956349953092633,-0.07122223869264126,0.5218281906906515
1772806410209094000,0.153093994140625,-0.9113502900421618,-0.04832008653283119,0.48295273578613995
1772806410219026000,0.16302587890625,-0.8052332635790109,-0.188425307315588,0.5218620929602533
1772806410228957000,0.17295703125,-0.7181907938115298,-0.2798661581724882,0.5660224294651299
1772806410238889000,0.182888916015625,-0.4646230061084032,-0.487303624472022,0.6496450808517634
1772806410248819700,0.19281982421875,-0.2970259672880173,-0.6802782656550407,0.7976103674851357
1772806410258751700,0.202751708984375,-0.2213677919745445,-0.8004460293024778,0.8014396434497087
1772806410268683000,0.21268310546875,-0.3337733971878886,-0.6799608702689409,0.6747420396421104
1772806410278614800,0.22261474609375,-0.4933265380233526,-0.37770167850255965,0.45713564602769907
1772806410288545800,0.2325458984375,-0.7392102009646594,-0.03414309262037277,0.34035913225375114
1772806410298477000,0.24247705078125,-0.8378414017170667,0.21033435678482054,0.42739444162808354
1772806410308409000,0.2524091796875,-0.7447834710523485,0.2741846054047346,0.6501199318218975
1772806410318339800,0.26233984375,-0.5807552306294441,0.36179917597174643,0.9348459511157124
1772806410328272000,0.27227197265625,-0.45167526172995565,0.33753625685274596,1.1394437370099126
1772806410338203000,0.282202880859375,-0.5574108876600862,0.19389526315927505,1.191955722274631
1772806410348134700,0.292134765625,-0.5531780723959208,-0.02705634922981262,1.057867569824308
1772806410358066000,0.30206591796875,-0.4316030722990632,-0.3180903826266527,0.9052896017637103
1772806410367998000,0.311998046875,-0.40018005229234693,-0.44726738215982914,0.7222698798187077
1772806410377929000,0.321928955078125,-0.560816604450345,-0.41531507758200165,0.5498711398050189
1772806410387860700,0.33186083984375,-0.7346788411453365,-0.32483868784308434,0.37201544955968857
1772806410397791700,0.341791748046875,-0.9165203861564397,-0.2859223894715309,0.23472207132726908
1772806410407723800,0.351723876953125,-1.1306582268774508,-0.2785837171465158,0.20591456758119164
1772806410417655000,0.361655029296875,-1.2163640412136911,-0.2798872009605169,0.4710006513815373
1772806410427586800,0.3715869140625,-0.7906573334768414,-0.5415162761747837,0.852692787759751
1772806410437517800,0.381517822265625,-0.47137306489050385,-0.699627109247446,0.9358812855128198
1772806410447449900,0.391449951171875,-0.3139297558158636,-0.6658177786260843,0.8566282275125384
1772806410457380900,0.401380859375,-0.29641835678368805,-0.6447171229302883,0.747973791526258
1772806410467311900,0.411311767578125,-0.2314145542144775,-0.6796820533275604,0.40613355386927724
1772806410477244000,0.421243896484375,-0.20113310545831917,-0.8046487416893243,0.23978622284904122
1772806410487175000,0.4311748046875,0.21118015995919703,-0.8283920208483934,0.38716976407170295
1772806410497106700,0.441106689453125,-0.018688041596114636,-0.737328186610341,0.10272270784974098
1772806410507038000,0.451037841796875,-0.751052760580182,-0.8961515518665313,-0.12926613912135362
1772806410516970000,0.460969970703125,-1.2012065118312836,-1.0615513729035855,-0.16345336314439773
1772806410526900700,0.470900634765625,-1.3439832899108528,-1.2430167780786752,-0.19660306081324816
1772806410536832800,0.480832763671875,-0.8853808592662215,-1.1779010395675897,-0.14699030412137506
1772806410546763800,0.490763671875,0.1612280883103609,-0.9635638768821955,-0.220604114125669
1772806410556696000,0.500696044921875,-0.031028175470232962,-1.097576626008749,-0.4010366691216826
1772806410566626800,0.510626708984375,-0.7045344627723097,-1.1491431471168994,-0.5613384363673627
1772806410576558800,0.520558837890625,-0.7637061981871723,-1.2950643607020378,-0.6702282885447144
1772806410586489900,0.53048974609375,-0.89842943367064,-1.4824924736738203,-0.7520059696517885
1772806410596420900,0.5404208984375,-0.8815320748835802,-1.5064561175853013,-0.6254634102754294
1772806410606353000,0.550352783203125,-0.7085819845974445,-1.3833856182336806,-0.29061244698390365
1772806410616284000,0.560283935546875,-0.7380892341107129,-1.216627368324995,-0.12214783154875039
1772806410626216000,0.5702158203125,-0.8469324706673622,-0.9397013552576303,-0.10742913197502493
1772806410636146700,0.580146728515625,-0.9059846713557839,-0.5391857874006033,-0.2048671774201095
1772806410646078700,0.59007861328125,-1.0742053950324655,-0.24015374098718165,-0.2852466821670532
1772806410656010000,0.600010009765625,-1.3198840369209646,-0.20034370864629744,-0.17973259003311395
1772806410665942000,0.60994189453125,-1.6364616768971085,-0.3955991542428732,0.0738202923618257
1772806410675872800,0.619872802734375,-1.918681120197475,-0.7131307339429855,0.17768194111362098
1772806410685804800,0.6298046875,-2.073000452032685,-0.9480641099333763,0.1327360071890056
1772806410695735800,0.63973583984375,-2.140470936976373,-1.043295585244894,0.009323124140501023
1772806410705668000,0.649668212890625,-2.1958891650766135,-1.0880547644257546,-0.08750482658222317
1772806410715598800,0.659598876953125,-2.12304780074954,-1.0529910498291253,-0.15412439378499984
1772806410725531000,0.66953076171875,-1.9800296151295302,-0.9657862291067838,-0.2864811923980713
1772806410735462000,0.6794619140625,-1.948404935070872,-0.9635393269628286,-0.48872839657813305
1772806410745394000,0.689393798828125,-2.023180774591863,-0.8896575136721133,-0.7350299926705658
1772806410755325000,0.699324951171875,-2.0723376042097805,-0.8119242856502532,-1.0322283939160406
1772806410765256000,0.709255859375,-2.127124840930104,-0.8449263915419578,-1.2593475890241563
1772806410775188000,0.71918798828125,-2.2312410489648578,-0.9604068741559981,-1.239574236409366
1772806410785118700,0.72911865234375,-2.3052692849889396,-1.0917489427685736,-0.9076466132186353
1772806410795050800,0.73905078125,-2.364346620118618,-1.0919435885578392,-0.4101587177321315
1772806410804982000,0.74898193359375,-2.305566514369845,-1.0537789853364228,-0.20292510344162581
1772806410814914000,0.7589140625,-2.036732037821412,-1.0551017583727835,-0.3548525717042386
1772806410824844800,0.7688447265625,-1.790892652413249,-1.0763222410559654,-0.7681431577213108
1772806410834776800,0.77877685546875,-1.66205584461987,-1.129867368760705,-1.2104309979029
1772806410844707800,0.788707763671875,-1.5491139405727385,-1.2529291002839802,-1.3787443682990967
1772806410854639900,0.798639892578125,-1.6555419326812029,-1.3853373368233441,-1.187102583155036
1772806410864571000,0.80857080078125,-2.034109288102388,-1.3342647367119789,-0.8145175170138478
1772806410874503000,0.8185029296875,-2.325276007968187,-1.088242395952344,-0.2941806608594954
1772806410884434000,0.828433837890625,-2.533563953617215,-0.666805036097765,0.3627979777507484
1772806410894365700,0.83836572265625,-2.7215350874245163,-0.022937807995080946,1.1072032631404698
1772806410904297000,0.848296875,-2.8208263595208525,1.176458439543843,1.7660400968380272
1772806410914228000,0.85822802734375,-2.7052523534044624,3.214772193598747,2.0151400914773343
1772806410924159700,0.86815966796875,-2.1029443393975495,5.633188257557153,2.2135060703098772
1772806410934090800,0.8780908203125,-0.5462763301834463,7.207647651788592,2.7320348541289565
1772806410944022800,0.888022705078125,1.2069006318196653,7.007012851241231,2.2902131701543924
1772806410953954000,0.8979541015625,0.7404322901055216,3.8806162757098672,0.9281460881508886
1772806410963885800,0.9078857421875,-0.286369840978086,-1.1473831517070532,0.6017385435558855
1772806410973816800,0.91781689453125,-0.23912410567849873,-5.513763421231508,2.090416281735897
1772806410983748900,0.927748779296875,-1.042868592004478,-7.822555327388644,3.536668982771039
1772806410993680000,0.937679931640625,-1.786222614775598,-6.737842859128117,2.4502841973841187
1772806411003612000,0.94761181640625,-0.9227797388121485,-4.095793396350741,1.2680632487908006
1772806411013543000,0.95754296875,1.4611466110453009,-0.687567838141322,0.23786533778905866
1772806411023475000,0.967474853515625,4.101948704110086,3.0294460213422774,-0.6279926364921034
1772806411033405700,0.97740576171875,5.096676657801866,5.041831553414464,-1.5846479030296206
1772806411043337700,0.987337646484375,4.672461357666552,5.248665208601952,-1.9016244791954755
1772806411053269000,0.99726904296875,3.6197815657436845,3.805686414670944,-2.261176168501377
1772806411063201000,1.007200927734375,3.001683861930668,1.8345774803608654,-2.3816641040138897
1772806411073131800,1.0171318359375,3.0420480210229752,-0.1488975990474224,-2.234481930582225
