time,seconds_elapsed,z,y,x
1772882902953365800,0.07836572265625,0.03838295862078667,-0.37597012519836426,-0.07456611096858978
1772882902963297800,0.0882978515625,0.07095682621002197,-0.3267935514450073,-0.0450945682823658
1772882902973230800,0.09823095703125,0.05216210335493088,-0.20601442456245422,-0.027545936405658722
1772882902983163000,0.108162841796875,0.04341116547584534,-0.04363730549812317,0.02946726232767105
1772882902993096000,0.118095947265625,0.07442954182624817,0.13578170537948608,0.07483207434415817
1772882903003028000,0.128028076171875,0.15051573514938354,0.27769604325294495,0.07197824865579605
1772882903012961000,0.1379609375,0.23044918477535248,0.2688724398612976,0.023087140172719955
1772882903022892800,0.147892822265625,0.3136731684207916,0.17806479334831238,-0.04968634620308876
1772882903032825600,0.15782568359375,0.3705412447452545,0.05492182821035385,-0.14480380713939667
1772882903042757600,0.167757568359375,0.3941724896430969,-0.10289811342954636,-0.2605615556240082
1772882903052690700,0.177690673828125,0.4019204378128052,-0.27455562353134155,-0.3855721950531006
1772882903062622700,0.187622802734375,0.406655490398407,-0.4713000953197479,-0.509353756904602
1772882903072555800,0.1975556640625,0.42256760597229004,-0.6066938638687134,-0.6237735152244568
1772882903082487800,0.20748779296875,0.44093605875968933,-0.665927529335022,-0.6899882555007935
1772882903092420900,0.2174208984375,0.47609245777130127,-0.6639946103096008,-0.7085701823234558
1772882903102354000,0.22735400390625,0.5165444612503052,-0.6376190781593323,-0.6779361367225647
1772882903112286000,0.237285888671875,0.5531170964241028,-0.5319264531135559,-0.616644561290741
1772882903122218800,0.24721875,0.5214582085609436,-0.33531221747398376,-0.5172922015190125
1772882903132150500,0.257150634765625,0.45327702164649963,-0.06744908541440964,-0.31421685218811035
1772882903142083300,0.267083251953125,0.37945884466171265,0.18522655963897705,-0.0838637501001358
1772882903152015400,0.277015380859375,0.28797686100006104,0.4440259039402008,0.15351338684558868
1772882903161948400,0.286948486328125,0.1769779622554779,0.610029399394989,0.37618011236190796
1772882903171880400,0.29688037109375,0.0870366245508194,0.5963221192359924,0.5357636213302612
1772882903181813500,0.3068134765625,0.033191978931427,0.47991034388542175,0.6468153595924377
1772882903191745500,0.31674560546875,-0.05479087308049202,0.32641372084617615,0.6122384667396545
1772882903201678600,0.3266787109375,-0.15294864773750305,0.09486696869134903,0.4241101145744324
1772882903211610600,0.336610595703125,-0.2165827602148056,-0.09855415672063828,0.1502162516117096
1772882903221543400,0.34654345703125,-0.1969977170228958,-0.2753973603248596,-0.032181840389966965
1772882903231475700,0.356475830078125,-0.12395651638507843,-0.264234721660614,-0.0904182493686676
1772882903241408500,0.366408447265625,-0.07250488549470901,-0.16353601217269897,-0.11362070590257645
1772882903251340300,0.37634033203125,-0.07373366504907608,-0.1575031578540802,-0.21402665972709656
1772882903261273600,0.386273681640625,-0.042810212820768356,-0.11395124346017838,-0.20361728966236115
1772882903271205400,0.396205322265625,-0.003328850958496332,-0.17133596539497375,-0.2029847949743271
1772882903281138400,0.406138427734375,0.047796063125133514,-0.28525540232658386,-0.29831910133361816
1772882903291070500,0.416070556640625,0.08380918949842453,-0.4906165599822998,-0.46193253993988037
1772882903301003500,0.42600341796875,0.08100466430187225,-0.7014456987380981,-0.677901029586792
1772882903310935600,0.435935546875,0.04213263839483261,-0.811576247215271,-0.8927637934684753
1772882903320868600,0.44586865234375,0.0006164595251902938,-0.8259891867637634,-1.0051440000534058
1772882903330800600,0.455800537109375,0.016308071091771126,-0.7422943115234375,-1.011253833770752
1772882903340733400,0.4657333984375,0.026165230199694633,-0.617401659488678,-0.9456948041915894
1772882903350665500,0.47566552734375,0.007262377999722958,-0.46376118063926697,-0.8788345456123352
1772882903360598500,0.4855986328125,-0.02644983120262623,-0.2757108211517334,-0.8576528429985046
1772882903370530600,0.495530517578125,-0.013960670679807663,-0.07281174510717392,-0.8576467037200928
1772882903380463600,0.505463623046875,0.00819235760718584,0.09899726510047913,-0.8452492356300354
1772882903390395400,0.5153955078125,0.07157479226589203,0.26507893204689026,-0.9083432555198669
1772882903400328400,0.525328369140625,0.2607787549495697,0.46958059072494507,-0.984853208065033
1772882903410260500,0.535260498046875,0.47895848751068115,0.6738466024398804,-1.0747181177139282
1772882903420193500,0.545193603515625,0.6262413263320923,0.8306625485420227,-1.115897536277771
1772882903430125600,0.55512548828125,0.7276036143302917,0.9635263681411743,-1.0059441328048706
1772882903440058400,0.565058349609375,0.8853126168251038,0.9270462989807129,-0.7847130298614502
1772882903449990400,0.574990478515625,1.054229736328125,0.4699404835700989,-0.5436455607414246
1772882903459923500,0.58492333984375,1.0033446550369263,-0.4186241924762726,-0.16492995619773865
1772882903469855500,0.59485546875,0.6854953169822693,-1.6555514335632324,0.2281174659729004
1772882903479788500,0.60478857421875,0.2551092505455017,-2.682276964187622,0.44359537959098816
1772882903489720600,0.614720458984375,-0.038914378732442856,-3.3329687118530273,0.39518681168556213
1772882903499653600,0.624653564453125,-0.02201359160244465,-3.5193097591400146,0.1742130070924759
1772882903509585700,0.634585693359375,0.27885356545448303,-3.408803939819336,0.09139083325862885
1772882903519518700,0.644518798828125,0.649021327495575,-2.999258041381836,0.07499828934669495
1772882903529450500,0.654450439453125,1.0170691013336182,-2.317063808441162,0.16261228919029236
1772882903539383300,0.66438330078125,1.3165022134780884,-1.5403653383255005,0.3182193338871002
1772882903549315300,0.6743154296875,1.4635332822799683,-0.8251667618751526,0.4808279573917389
1772882903559248400,0.684248291015625,1.4722487926483154,-0.2675890326499939,0.615443229675293
1772882903569180400,0.694180419921875,1.440902829170227,0.07962006330490112,0.7169067859649658
1772882903579113500,0.704113525390625,1.3999279737472534,0.31553658843040466,0.7817021012306213
1772882903589045500,0.71404541015625,1.4180718660354614,0.4818749725818634,0.8109713196754456
1772882903598978600,0.723978515625,1.4128990173339844,0.41086894273757935,0.6860011219978333
1772882903608910600,0.73391064453125,1.3539925813674927,0.29996320605278015,0.3832215666770935
1772882903618843600,0.74384375,1.2860093116760254,0.17740871012210846,-0.016279837116599083
1772882903628775700,0.753775634765625,1.2045581340789795,0.10938732326030731,-0.4513646960258484
1772882903638708500,0.76370849609375,1.1332064867019653,0.04367232322692871,-0.867206871509552
1772882903648640500,0.773640625,1.041914701461792,-0.10371286422014236,-1.1456336975097656
1772882903658573300,0.7835732421875,0.8875837326049805,-0.32420670986175537,-1.146393895149231
1772882903668505300,0.79350537109375,0.6448994278907776,-0.5806566476821899,-0.9183497428894043
1772882903678438400,0.8034384765625,0.31496262550354004,-0.767771303653717,-0.5809234380722046
1772882903688370400,0.813370361328125,-0.06238972023129463,-0.8712508082389832,-0.19903354346752167
1772882903698303500,0.823303466796875,-0.43702611327171326,-0.9114952683448792,0.15116742253303528
1772882903708235500,0.833235595703125,-0.7325280904769897,-0.8251147866249084,0.3669929504394531
1772882903718168600,0.84316845703125,-0.8575044870376587,-0.615422248840332,0.5204339623451233
1772882903728100600,0.8531005859375,-0.8159503936767578,-0.24879764020442963,0.6612171530723572
1772882903738033400,0.863033447265625,-0.5865646004676819,0.18093101680278778,0.7790225744247437
1772882903747965700,0.872965576171875,-0.2943684756755829,0.6113300323486328,0.7741215825080872
1772882903757898500,0.8828984375,-0.07763508707284927,0.8479346632957458,0.5633764266967773
1772882903767830500,0.89283056640625,0.028795475140213966,0.8286464810371399,0.1576044112443924
